job_title,place,company,salary,job_info
"MGR, QE DATA SCIENCE",台中市后里區,台灣美光晶圓科技股份有限公司,面議（經常性薪資4萬/月含以上）,"Job Description

As a Data Science Manager at Micron Technology Inc., you will be responsible for the vision, development,and management of a high performing and technical analytics team. You will optimize team performance by collaborating with internal and external stakeholders to provide data-driven solutions to complex strategic and tactical challenges. This is a highly collaborative role with operations, engineering, management, information technology, etc. You will combine problem-solving, data-analysis, and technical skills to identify, quantify, and solve business problems. You will lead and participate in a team that is constantly challenging the boundaries of what is possible. You will develop and improve individual capability of current and future Micron data scientists and data engineers. You will establish and monitor team performance metrics to identify and implement continual improvement opportunities. You will lead your team to generate algorithms, create computer models, and test and validate models that are scalable for production. Your team will discover and present business relevant “stories” to business stakeholders using data visualization methods. You will develop expert-level knowledge of Micron and use this knowledge to deliver prescriptive, actionable solutions to stakeholders. You will be responsible for conveying corporate business initiatives, providing direction thereof, and driving a clear understanding of line of sight to department and corporate strategic objectives within your team. You will lead research in and keep up to date on the latest developments and trends in data science tools and techniques.工程學門,數學統計學門,電算機學門"
AI Data Scientist_Xizhi/Linkou,新北市汐止區,GARMIN 台灣國際航電股份有限公司,面議（經常性薪資4萬/月含以上）,"【工作內容】
針對實務製造問題發展工業4.0解決方案，運用深度學習、人工智慧、機器學習、模擬與最佳化等模型於 Garmin 智慧製造應用的開發，依據生產目標定義問題、收集資料、分析以及開發演算法以提升整體生產效益，其涵蓋的應用領域包括：
1. 產品良率優化 – 如產品瑕疵檢測，應用深度學習架構與可解釋AI於自動瑕疵檢測，取代傳統人工搜尋方式。
2. 設備利用率提升 – 如設備異常分析，應用時間序列資料建立設備異常預測模型並推估的最佳保養時間。
3. 生產效率提升 – 使用最佳化模型對生產排程進行優化與求解運輸派送問題。
4. 能源效率優化 – 如工廠節能最佳化，透過環境感測器取得資料並分析，智能化調整參數減少能源浪費。

【必要條件】
1. 對資料分析充滿熱情並具備程式開發之熱忱與積極性，善於溝通協調與團隊合作精神並能獨立解決問題。
2. 熟悉Python, R, Scala, C/C++ 等程式語言，並具備使用其語言開發實際分析經驗。
3. 具備獨立研發能力，閱讀理解期刊論文並開法及修改演算法。
4. 具備深度學習、機器學習、統計分析、資料探勘（machine learning, deep learning, statistical modeling, data mining）之研究背景或實務經驗，對原理有扎實的理解，能確實了解各演算法在應用上的優劣。
5. 具備應用以下其中任一種深度學習架構（如CNN/ LSTM/ GAN）在分析資料、影像、聲音上的經驗。
6. 具備MS SQL, PL/SQL, Mongo, Hive等資料庫串接經驗，及熟悉資料視覺化實作（如Tableau）。

**上班地點將於2022年間，調整至新北市新店區「寶高智慧產業園區」。工程學門,資訊管理學類,數學統計學門"
"MANAGER, SMART MFG & AI, DATA ENG (Taichung or Taoyuan)",桃園市龜山區,台灣美光晶圓科技股份有限公司,面議（經常性薪資4萬/月含以上）,"As a Technical Manager at Micron Technology Inc., you will lead data engineers under the Smart Manufacturing and Artificial Intelligence organization. Under this organization, we have 2 new data engineering teams to be formed, one of team will focus on exploring ASML EUV(Extreme ultraviolet lithography) machines and the data like Sensor data collection, Collector Lifetime Detection, Dose error analyzer, Image monitoring, ASML MDL data decoding for developing Big data engineering, and advanced analytics solutions. Another team will be leading data engineers to leverage of the shelf technologies to enhance the capabilities of our TMs on the shop floor (e.g. AR/VR, RPA) and develop projects for Labour Productivity.
Those 2 teams will work closely with Micron’s business functions(Domain expert, Data Scientist..etc) in all aspects of data, like Connect and automate the pipelines, data processing from different sources, provide data as products building data lake, data warehouse, data mart, data cleansing, feature selection/engineering for Machine Learning usage and data governance for developing Big data engineering, and advanced analytics solutions.

Team Management
• Assist in team development while holding teams accountable for their commitments.
• Remove roadblocks for team works.
• Leverage organizational resources to improve capacity for project work.
• Mentor and develop team members.
• Collaborate with Key project partners, Solution analyst and Architect on project needs and translate requirements into technical need
• Participate in design, architecture review along with developers for implementing Big data and cloud data warehouse solutions
• Lead team to Implement solutions that eliminate or minimize technical debt through a well-designed architecture, data model, and lifecycle
• Bring together and share best-practice knowledge among the data engineering community
• Lead team to work with OPS team through operational issues, escalations and resolve business partner issues in a timely manner with strong collaboration and care for business priorities.
• Collaborate with business partners and other teams to ensure data solutions are available, recover from failures and operate healthy
Strategy Lead Support for requirement development
• Support the Strategy Lead in managing customer expectations for project deliverables.
• Confirm priorities for the team’s work and facilitates settlement of prioritization conflicts.
• Assist the Strategy Lead in communicating business requirements (or transfer into technical requirements) to the team.
Team Building
• Promote empowerment of the team to build a cohesive, high performing team.
• Ensure that each team member is fully engaged in the project and making a meaningful contribution.
• Encourage a sustainable pace with high levels of quality for the team.
• Use appropriate data and metrics to measure and promote team growth and maturity.
• Facilitate resolution of conflict within the team.
• Provide specific performance feedback to team members and their managers.
Qualifications
Required Technical Experience:
• B.S. degree and above in Computer Science or related fields (Information Engineering, Information Management, Data engineering, Applied Mathematics)
• 5+ years of experience working/leading with Big Data Solutions development
• Strong experience of using ETL tools (NiFi, Informatica, SSIS, Spark…etc)
• Strong experience of developing in relational databases (MS SQL, Oracle, MySQL…etc)
• Application development skills and proficiency with Python, Java, Base shell, SQL…etc
• Developing applications with Hadoop Eco. Such as Hive, Spark, Kafka, HBase
• Experience with Cloud services such as GCP, AWS, Snowflake
• A passion for data and information with strong analytical, problem solving, and organizational skills資訊管理學類,資訊工程學類,數學統計學門"
DATA SCIENCE ENGINEER - SMART MFG & AI (Taichung or Taoyuan),台中市后里區,台灣美光晶圓科技股份有限公司,面議（經常性薪資4萬/月含以上）,"Job Description
As a Data science engineer at Micron Technology, Inc., you will report to the Smart Manufacturing and Artificial Intelligence organization. The team defines, drives and delivers end to end smart manufacturing solution, integrated across functions of the business. The team will look into applying industry-leading the best methodologies in automation, AI and machine learning to enhance Micron’s product development, business and administrative processes across the company.
Responsibilities and Tasks
1. Work with an international team of data scientists, data engineers, software engineers, process and equipment engineers, process integration engineers, yield enhancement engineers, R&D, etc. in a collaborative manner to develop new data science solutions that improve quality, improve yield, reduce deviations, improve manufacturing cycle time, reduce cost, extend manufacturing capabilities, etc.
2. Draw from a broad background of data-mining techniques in mathematics, statistics, information technology, machine learning, data engineering, visualization, etc. to discover insightful patterns in the dataset
3. Work on projects and develop solutions that would be of high impact in various areas such as Fabrication plant, Assembly and Test and Procurement etc
4. Work closely with IT and Supplier on data management, taking an idea, access and prepare necessary data, work with data scientists to create machine learning models, develop it to an application with intuitive user interface, integrate with any pre-existing systems, demonstrate successful use cases and wins, etc.
5. Developing new or enhancing prior data acquisition and ETL pipelines from various sources into big data ecosystem.
6. Developing responsive design web interface for result visualization and user interaction
7. Working with various scientific data such as equipment sensor data and logs, image and various types of signals, manufacturing process data, etc. to extract meaningful information for analytics
8. Creating intuitive user interface for interactive data visualization to explain insights from data
Requirements
1. B.S/M.S degree in Science, Computer Science, Industrial Engineering or any other engineering discipline with extensive programming exposure
2. Good hands on programming experience (eg Java, C++, python, etc)
3. Strong communication skills (written, verbal and presentation)
4. Willing to travel and enjoy working in diverse environment
5. Any exposure to below will be advantageous
Scala, Python in Hadoop ecosystem (Spark, Hive, HBase, etc.)
ETL, Database (MS SQL, Oracle, MySQL, Snowflake, etc.)
Image processing (OpenCV, Python PIL, scikit-image, etc.)
Web Development (Angular, typescript, css, Node.js, etc)
Mobile app development (Ionic framework, apache cordova, etc)"
"【工業4.0／智慧製造】大數據分析工程師（Python）☆到職滿6個月,留任獎金最高15,000元☆",桃園市龜山區,欣興電子股份有限公司,月薪 3.2萬~7萬元,"1. 大數據資料分析及應用
2. 運用統計分析方法及機器學習提出適合演算模型
3. 自動控制與資料視覺化呈現
4. 生產製造時間序列分析系統建立

【加分項目】
具JAVA、SQL 程式能力者優

#Python
#機器學習 Machine Learning
#大數據 Big Data資訊工程學類,工業工程學類,電子工程學類"
DATA SCIENTIST/ SR DATA SCIENTIST SMART MFG & AI (Taoyuan or Taichung),桃園市龜山區,台灣美光晶圓科技股份有限公司,面議（經常性薪資4萬/月含以上）,"Job Description

As a Data Science Engineer at Micron, you will employ techniques and theories drawn from areas of mathematics, statistics, semiconductor physics, materials science, and information technology to uncover patterns in data from which predictive models, actionable insights, and solutions can be developed.
You will interact with experienced Data Scientists, Data Engineers, Business Areas Engineers, and UX teams to identify questions and issues for data analysis projects and improvement of existing tools. In this position, you will help develop software programs, algorithms and/or automated processes to cleanse, integrate, and evaluate large datasets from multiple disparate sources. There will be significant opportunities to perform exploratory and new solution development activities.
Responsibilities include, but not limited to:
• Strong desire to grow a career as a Data Scientist in highly automated industrial manufacturing doing analysis and machine learning on terabytes and petabytes of diverse datasets.
• Experience in the areas: statistical modeling, feature extraction and analysis, supervised/unsupervised/semi-supervised learning. Exposure to the semiconductor industry is a plus but not a requirement.
• Ability to extract data from different databases via SQL and other query languages and applying data cleansing, outlier identification, and missing data techniques.
• Strong software development skills.
• Strong verbal and written communication skills.
• Experience with or desire to learn:
• Machine learning and other advanced analytical methods
• Fluency in Python and/or R
• pySpark and/or SparkR and/or SparklyR
• Hadoop (Hive, Spark, HBase)
• Teradata and/or another SQL databases
• Tensorflow, and/or other statistical software including scripting capability for automating analyses
• SSIS, ETL
• Javascript, AngularJS 2.0, Tableau
• Experience working with time-series data, images, semi-supervised learning, and data with frequently changing distributions is a plus
• Experience working with Manufacturing Execution Systems (MES) is a plus
• Existing papers from CVPR, NIPS, ICML, KDD, and other key conferences are plus, but this is not a research position
Education:
• B.S. in Mathematics, Computer Science, Data Science and Physics.
• M.S. or Ph.D. with specialization in Data analytics, mathematics, Physics, Statistics, computer science.數學統計學門,電機工程學類,電子工程學類"
"(Senior) Engineer, WLR Data Analytics",台中市后里區,台灣美光晶圓科技股份有限公司,面議（經常性薪資4萬/月含以上）,"Responsibilities and Tasks
-Maintain knowledge of Reliability physics, Device characteristics and Probe testing
-Understand latest process technology, various testing methodologies
-Stay up-to-date on common customer applications and issues
-Be able to extract various REL/Test data from various process steps, technology and sites, integrate, automate and analyze the data to derive important trends, performance, drift etc and drive for necessary actions.
-Provide recommendations to enhance data readability through but not limited to Tableau, JMP, SQL, Python etc. Communicate trend, data reporting, important deviation to various departments and drive for further CIP.
-Partnering with FE sites, PE, QRA and other functions to drive for metrics and/or process improvement
-Demonstrated high-level analytical problem-solving skills, time management, organization and multitasking abilities.
-Develop and maintain WLR Dashboard for process and product reliability工程學門"
IT Data Engineer - DevOPS - Taichung,台中市后里區,台灣美光晶圓科技股份有限公司,面議（經常性薪資4萬/月含以上）,"IT Data Engineer - DevOPS - Taichung資訊管理學類,資訊工程學類,其他數學及統計學類"
F11 PHYSICAL MODELING DATA SCIENTIST,桃園市龜山區,台灣美光晶圓科技股份有限公司,面議（經常性薪資4萬/月含以上）,"Job Description:
As a Physical Modeling Data Scientist in semiconductor field, you will be responsible to build up physical models by simulation program or develop by yourself. You will cooperate with Process Engineer, Equipment Engineer to understand process domain knowledge, and leverage your model to simulate and insight various semiconductor processes, Optical, Thermal, Etching…etc. Meantime, you will cooperate with Data Engineer and System developer to systemize your result. Welcome to join Micron Taiwan Data Science team!

Job Requirement:
* Physics, Chemistry, Materials science and Engineering, Electronic Engineering, or related background
* Master or PhD
* Simulation expertise
* Python programming skill

Bonus:
* Semiconductor manufacturing experience
* Process Engineering, Process Integration Engineering experience
* Design of Experiments
* Deep Learning / AI knowledge資訊工程學類,資訊管理學類,工程學門"
Data Exchange Engineer_新竹_00211,新竹市東區,緯創資通股份有限公司(緯創資通),月薪 3萬~6萬元,"全球資料交換處理
1.套裝軟體使用開發
2.Open source使用開發資訊管理學類,資訊工程學類"
「健康大數據永續平台」計畫研究助理,苗栗縣竹南鎮,財團法人國家衛生研究院,面議（經常性薪資4萬/月含以上）,"參與下列工作：
1.  建立主題式健康資料庫
2.  開發資料庫界接工具與介面，如REST / Restful API

應徵條件：
1. 資訊/資工/相關系所等背景，學士學歷(含)以上
2. 熟悉關聯式資料庫開發與網頁設計，可使用python/Java/node.js等程式語言開發Web系統和API，有系統開發經驗者為佳
3. 熟悉XML、JSON或Turtle資料格式，以及HL7 FHIR醫療資訊交換標準，有醫療資料庫系統開發經驗者為佳
4. 工作態度積極、具研究學習的熱誠

工作待遇：依國衛院計畫下研究助理人員工作酬金標準表敘薪資訊工程學類,其他資訊科學學類"
Data Engineer_高雄_00000,高雄市苓雅區,緯創資通股份有限公司(緯創資通),面議（經常性薪資4萬/月含以上）,"1.Design, implement, maintain ETL architecture
2.Responsible for data cleaning and feature engineering tasks
3.Design and create RESTful APIs for machine learning models
4.Administrate Linux-based development environment
5.Cooperate and communicate with data scientists in a machine learning project資訊管理學類,資訊工程學類,數學統計學門"
Data Science Software Engineer,台中市后里區,台灣美光晶圓科技股份有限公司,面議（經常性薪資4萬/月含以上）,"Micron in Taiwan

Micron’s global footprint is designed to deliver comprehensive customer collaboration, support and quality around the world and throughout the product lifecycle. Taiwan plays a meaningful role in strengthening Micron’s position in leading-edge DRAM.

Micron’s Taiwan sites include sales and technical support in Taipei along with state-of-the-art fabrication facilities in Taichung and Taoyuan that together comprise the company’s DRAM Center of Perfection. The Center’s goal is to achieve the most efficient and effective technology transfer and manufacturing ramp by combining front- and back-end manufacturing, product engineering and technology development roles.

Job Description

As a Data Science Software Engineer in Micron, you will be responsible for the development, document and maintenance of applications which enable efficiency improvement with innovative data science solutions throughout the software development life cycle. Your application will support fab engineer‘s daily work by supporting routine/customized data mining request, presenting data visualization of mining results and supporting issue tracking and fab‘s automation. You will adopt Micron‘s software framework and deploy your application to Micron‘s central web platform.
You need to demonstrate functional and technical skills necessary to switch between development technologies and merge them and operate in a diverse, collaborative environment where problem solving is a team sport and creative solutions are recognized and rewarded. You will collaborate with various roles and teams across the Micron network to design and implement application to provide the best solution.
Responsibilities:
    Gather customer requirements and understand business impact.
    Design software solutions and deliver the solution with Micron software stack.
    Provide accurate work estimates
    Align with technology roadmaps
    Maintain communication with leadership teams and stakeholders
    Participate in unit and integration testing
    Support user acceptance testing
    Follow established version control and deployment practices
    Create and maintain supporting documentation
Qualifications:
    Excellent communication and problem solving skills are required.
    2+ years‘ experience with full-stack web system design/implementation is required.
    Familiar with git and related development flow (eg. gitflow) is required.
    Experience on relational database (ex: MS SQL Server, Oracle, MySQL, PostgreSQL, etc...) is required.
    Proficient in SQL operations and database design are required.
    Experience on building ETL data pipeline with Python script is preferred.
    Experience on constructing http API with Python/Java web frameworks is required. Following frameworks are preferred: Django, flask, fastAPI.
    Experience on JavaScript/Typescript, Bootstrap, CSS, HTML is required.
    Experience on SPA (single-page application) development and related framework (ex: Angular, React.js, etc...) is a required.
    Experience on Typescript and Angular 8+ is preferred.
    Experience on SSO and token validation is preferred.
    Experience on Docker is preferred.

Plus:
    Experience on data warehouse (ex: Snowflake) is a plus.
    Experience on ETL tools (ex: nifi/airflow) is a plus.

    Experience on ORM is a plus.
    Experience on NoSQL database (ex: MongoDB) is a plus.
    Experience on Jenkins CI/CD is a plus.
    Experience on Kubernetes and OpenShift is a plus.

    Experience on cloud solutions (ex: GCP, Azure) is a plus.

    Experience on PHP, C#/ASP .Net development stack is a plus.

    Experience on data science and big data tools, such as R and Hadoop ecosystem (hive, hbase, spark, pyspark, scala), is a plus.
    Experience on statistical data analysis, machine learning, deep learning is a plus.
    Good communication skills in English or TOEIC 600 and above.資訊管理學類,資訊工程學類,其他數學及統計學類"
B-風險管理處-大數據應用分析人員,台北市中山區,永豐金融控股股份有限公司(永豐銀行/永豐金證券/永豐金租賃),面議（經常性薪資4萬/月含以上）,"1. 撰寫 SQL 分析資料，熟悉數據視覺化，透過BI或數據視覺化工具將風險管理數據轉換為視覺化圖表;
2. 熟悉相關統計分析及資料處理能力，運用內部及外部數據，建構風險管理大數據平台。
3. 以 AI 工具或風險參數建立智能風險追蹤與預警機制及模型。"
